player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Geno Smith,QB,SEA,ARI,passing_yards,254.5,00-0030565,G.Smith,2023.0,7.0,18.0,24.0,219.0,2.0,1.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.76,ARI,-35.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,CLE,passing_yards,254.5,00-0030565,G.Smith,2023.0,8.0,23.0,37.0,254.0,2.0,2.0,1.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.86,CLE,-0.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,BAL,passing_yards,254.5,00-0030565,G.Smith,2023.0,9.0,13.0,28.0,157.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.68,BAL,-97.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,WAS,passing_yards,254.5,00-0030565,G.Smith,2023.0,10.0,31.0,47.0,369.0,2.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24.06,WAS,114.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LA,passing_yards,254.5,00-0030565,G.Smith,2023.0,11.0,22.0,34.0,233.0,1.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.22,LA,-21.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,SF,passing_yards,254.5,00-0030565,G.Smith,2023.0,12.0,18.0,27.0,180.0,0.0,1.0,6.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.3,SF,-74.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DAL,passing_yards,254.5,00-0030565,G.Smith,2023.0,13.0,23.0,41.0,334.0,3.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,29.96,DAL,79.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,TEN,passing_yards,254.5,00-0030565,G.Smith,2023.0,16.0,25.0,36.0,227.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.28,TEN,-27.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,PIT,passing_yards,254.5,00-0030565,G.Smith,2023.0,17.0,23.0,33.0,290.0,1.0,0.0,1.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,,,16.9,PIT,35.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,ARI,passing_yards,254.5,00-0030565,G.Smith,2023.0,18.0,16.0,28.0,189.0,2.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,20.36,ARI,-65.5,Seahawks,3.5,47.5
